"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify configured login buttons are visible, enabled, and labeled.","2036","test_login_buttons_are_visible_and_enabled[chromium]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowLoginRegression","test_sleekflow_login","",""
"Verify the login page displays the configured validation message.","2999","test_login_rejects_negative_identifier[webkit]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowLoginSmoke","test_sleekflow_login_smoke","",""
"Verify malformed email addresses are rejected on the signup screen.","1894","test_signup_rejects_invalid_email_formats[chromium-Missing at sign]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowSignupRegression","test_sleekflow_signup","",""
"Verify the password eye control toggles between hidden and visible text.","2587","test_login_eye_icon_toggles_password_visibility[chromium]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowLoginRegression","test_sleekflow_login","",""
"Verify the login page loads with its essential controls and text.","2780","test_login_page_is_ready[webkit]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowLoginSmoke","test_sleekflow_login_smoke","",""
"Navigate from signup to login using the visible auth link.","4178","test_signup_to_login_navigation[webkit]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowSignupRegression","test_sleekflow_signup","",""
"Verify weak password formats are rejected by the password step.","1","test_signup_rejects_invalid_password_formats[webkit-Short password without special character]","tests","2026-09-24","skipped","2026-09-24","TestSleekFlowSignupRegression","test_sleekflow_signup","",""
"Verify validation and authentication errors for invalid login data.","3721","test_negative_login_scenarios[webkit-Alphabetic identifier]","tests","2026-09-24","failed","2026-09-24","TestSleekFlowLoginRegression","test_sleekflow_login","",""
"Navigate from login to signup using the visible auth link.","5149","test_login_to_signup_navigation[webkit]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowLoginRegression","test_sleekflow_login","",""
"Verify Edit returns to the identifier screen with the email preserved.","2860","test_login_edit_button_returns_to_identifier_step[chromium]","tests","2026-09-24","passed","2026-09-24","TestSleekFlowLoginRegression","test_sleekflow_login","",""
