"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 22 08:51:30 UTC 2026","Tue Sep 22 08:51:32 UTC 2026","1820","tests","test_sleekflow_login_smoke","TestSleekFlowLoginSmoke","","","test_login_rejects_negative_identifier[chromium]","Verify the login page displays the configured validation message."
"passed","Tue Sep 22 08:51:13 UTC 2026","Tue Sep 22 08:51:16 UTC 2026","2787","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_edit_button_returns_to_identifier_step[chromium]","Verify Edit returns to the identifier screen with the email preserved."
"passed","Tue Sep 22 08:51:56 UTC 2026","Tue Sep 22 08:51:59 UTC 2026","2752","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_negative_login_scenarios[chromium-Wrong password]","Verify validation and authentication errors for invalid login data."
"passed","Tue Sep 22 08:51:27 UTC 2026","Tue Sep 22 08:51:28 UTC 2026","1674","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_images_are_visible[chromium]","Verify the login branding and feature images are loaded."
"passed","Tue Sep 22 08:51:16 UTC 2026","Tue Sep 22 08:51:19 UTC 2026","3036","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_eye_icon_toggles_password_visibility[chromium]","Verify the password eye control toggles between hidden and visible text."
"skipped","Tue Sep 22 08:51:39 UTC 2026","Tue Sep 22 08:51:39 UTC 2026","0","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_password_formats[chromium-Password below minimum length]","Verify weak password formats are rejected by the password step."
"skipped","Tue Sep 22 08:51:05 UTC 2026","Tue Sep 22 08:51:05 UTC 2026","0","tests","test_sleekflow_login","TestSleekFlowLogin","","","test_login_with_google[chromium]","Open Google OAuth without submitting external account credentials."
"passed","Tue Sep 22 08:51:52 UTC 2026","Tue Sep 22 08:51:54 UTC 2026","2005","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_email_formats[chromium-Missing top-level domain]","Verify malformed email addresses are rejected on the signup screen."
"passed","Tue Sep 22 08:51:37 UTC 2026","Tue Sep 22 08:51:39 UTC 2026","1687","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_email_formats[chromium-Missing at sign]","Verify malformed email addresses are rejected on the signup screen."
"skipped","Tue Sep 22 08:51:49 UTC 2026","Tue Sep 22 08:51:49 UTC 2026","1","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_password_formats[chromium-Short password without special character]","Verify weak password formats are rejected by the password step."
"passed","Tue Sep 22 08:51:47 UTC 2026","Tue Sep 22 08:51:49 UTC 2026","1759","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_email_formats[chromium-Missing local part]","Verify malformed email addresses are rejected on the signup screen."
"skipped","Tue Sep 22 08:51:05 UTC 2026","Tue Sep 22 08:51:05 UTC 2026","0","tests","test_sleekflow_login","TestSleekFlowLogin","","","test_login_with_apple[chromium]","Open Apple OAuth without submitting external account credentials."
"passed","Tue Sep 22 08:51:28 UTC 2026","Tue Sep 22 08:51:30 UTC 2026","1753","tests","test_sleekflow_login_smoke","TestSleekFlowLoginSmoke","","","test_login_page_is_ready[chromium]","Verify the login page loads with its essential controls and text."
"passed","Tue Sep 22 08:51:49 UTC 2026","Tue Sep 22 08:51:52 UTC 2026","2659","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_negative_login_scenarios[chromium-Special character identifier]","Verify validation and authentication errors for invalid login data."
"passed","Tue Sep 22 08:51:05 UTC 2026","Tue Sep 22 08:51:08 UTC 2026","3551","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_to_signup_navigation[chromium]","Navigate from login to signup using the visible auth link."
